race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202601010808,３歳以上１勝クラス 出馬表 | 2026年8月16日 札幌8R レース情報(JRA) - netkeiba,1,1,カフジクロミエ,牝3,53.0,古川吉,栗東中竹,7.2,6
202601010808,３歳以上１勝クラス 出馬表 | 2026年8月16日 札幌8R レース情報(JRA) - netkeiba,2,2,タイセイジェイド,牡3,55.0,西村淳,栗東矢作,3.6,1
202601010808,３歳以上１勝クラス 出馬表 | 2026年8月16日 札幌8R レース情報(JRA) - netkeiba,3,3,タイセイルビー,牝3,50.0,▲小林美,美浦千葉,6.5,5
202601010808,３歳以上１勝クラス 出馬表 | 2026年8月16日 札幌8R レース情報(JRA) - netkeiba,4,4,グレイスフルマーチ,牡4,58.0,斎藤,栗東中村,6.2,4
202601010808,３歳以上１勝クラス 出馬表 | 2026年8月16日 札幌8R レース情報(JRA) - netkeiba,5,5,ロードアルディート,牡4,58.0,横山和,栗東武幸,11.5,7
202601010808,３歳以上１勝クラス 出馬表 | 2026年8月16日 札幌8R レース情報(JRA) - netkeiba,6,6,スパークルレイ,牝3,50.0,▲遠藤,美浦的場,95.8,11
202601010808,３歳以上１勝クラス 出馬表 | 2026年8月16日 札幌8R レース情報(JRA) - netkeiba,7,6,タイキインドラ,牡4,58.0,坂井,美浦平岩,5.2,2
202601010808,３歳以上１勝クラス 出馬表 | 2026年8月16日 札幌8R レース情報(JRA) - netkeiba,8,7,ファミーユウルーズ,牡4,55.0,▲和田陽,美浦武藤,54.0,9
202601010808,３歳以上１勝クラス 出馬表 | 2026年8月16日 札幌8R レース情報(JRA) - netkeiba,9,7,サマースプラッシュ,牝3,50.0,河原田菜々,美浦石栗,57.2,10
202601010808,３歳以上１勝クラス 出馬表 | 2026年8月16日 札幌8R レース情報(JRA) - netkeiba,10,8,ジェネラスキング,牡3,55.0,横山武,美浦久保田,5.8,3
202601010808,３歳以上１勝クラス 出馬表 | 2026年8月16日 札幌8R レース情報(JRA) - netkeiba,11,8,カフェブーケット,牡4,57.0,☆長浜,美浦柄崎,32.6,8
