race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202601010810,大通公園特別(2勝クラス) 出馬表 | 2026年8月16日 札幌10R レース情報(JRA) - netkeiba,1,1,カッタッパ,牡3,56.0,松本,栗東森秀,28.1,9
202601010810,大通公園特別(2勝クラス) 出馬表 | 2026年8月16日 札幌10R レース情報(JRA) - netkeiba,2,2,ビーマックス,牡4,58.0,川田,栗東藤野,13.2,5
202601010810,大通公園特別(2勝クラス) 出馬表 | 2026年8月16日 札幌10R レース情報(JRA) - netkeiba,3,3,キャリーグレイス,牝4,56.0,舟山,栗東寺島,17.1,6
202601010810,大通公園特別(2勝クラス) 出馬表 | 2026年8月16日 札幌10R レース情報(JRA) - netkeiba,4,4,オセアエクスプレス,牡5,58.0,佐々木,美浦菊川,70.4,11
202601010810,大通公園特別(2勝クラス) 出馬表 | 2026年8月16日 札幌10R レース情報(JRA) - netkeiba,5,5,ストロングボンド,セ3,56.0,長浜,美浦菊川,108.3,12
202601010810,大通公園特別(2勝クラス) 出馬表 | 2026年8月16日 札幌10R レース情報(JRA) - netkeiba,6,5,マメタンク,牡3,56.0,斎藤,栗東東田,3.0,1
202601010810,大通公園特別(2勝クラス) 出馬表 | 2026年8月16日 札幌10R レース情報(JRA) - netkeiba,7,6,タッカージーティー,牝4,56.0,横山武,美浦鈴木伸,3.6,2
202601010810,大通公園特別(2勝クラス) 出馬表 | 2026年8月16日 札幌10R レース情報(JRA) - netkeiba,8,6,クインズシフォン,牝4,56.0,吉田隼,美浦和田郎,21.2,7
202601010810,大通公園特別(2勝クラス) 出馬表 | 2026年8月16日 札幌10R レース情報(JRA) - netkeiba,9,7,ウーマンズパワー,牝3,54.0,横山琉,栗東中尾,8.0,4
202601010810,大通公園特別(2勝クラス) 出馬表 | 2026年8月16日 札幌10R レース情報(JRA) - netkeiba,10,7,パールフロント,牝4,56.0,北村友,栗東寺島,4.3,3
202601010810,大通公園特別(2勝クラス) 出馬表 | 2026年8月16日 札幌10R レース情報(JRA) - netkeiba,11,8,フェデルミエール,牝4,56.0,黛,美浦中川,67.3,10
202601010810,大通公園特別(2勝クラス) 出馬表 | 2026年8月16日 札幌10R レース情報(JRA) - netkeiba,12,8,キーガッツ,牡4,58.0,西村淳,栗東杉山佳,22.4,8
